"Machen_ChristianityLiberalism" "Machen_LitHistNT" "Machen_OriginPaulReligion" "Mencken_AmericanLanguage" "Mencken_DefenseWomen" "Mencken_Nietzche" "Poe_FallHouseUsher" "Poe_Works1" "Rian_Unbelief" "VanTil_ChristianTheisticEthics" "VanTil_ProtestantDoctrineScripture" "VanTil_SurveyChristianEpistemology"
"such" 0.369568660577583 0.188335911200073 0.240980098077215 0.296787557551546 0.300625300625301 0.170221545921131 0.117439812096301 0.15065513765848 0.273330730183522 0.1752574636254 0.210346301838392 0.197226921474781
"will" 0.260457913168963 0.175598216722773 0.108693820461401 0.099219300765033 0.254930254930255 0.32754752018157 0.146799765120376 0.238714126571535 0.312377977352597 0.390425042729852 0.157332193244976 0.228681214985846
"him" 0.188304031818102 0.161040851605859 0.211489526634199 0.114885506148986 0.317460317460317 0.455213679622418 0.205519671168526 0.229165561508673 0.117141741507224 0.197815354983125 0.263360410431808 0.147920191106086
"any" 0.179504777994826 0.150122827768174 0.235924571544126 0.126199987815174 0.1996151996152 0.118639259278364 0.459972597377178 0.270542676781073 0.0390472471690746 0.154434794679808 0.244548952543822 0.266086320782787
"s" 0 0 0.000842587755514737 0.0852937848681863 0.00481000481000481 0.0128955716606917 0.0587199060481503 0.281152193517585 1.05427567356501 0.435540825445301 0.608807182556648 0.453961965808333
"may" 0.27629657005086 0.152852333727595 0.218230228678317 0.107922748200562 0.192400192400192 0.163773760090785 0.185946369152476 0.132618959206408 0.0780944943381492 0.23685785925611 0.188114578879863 0.300941078457209
"than" 0.133748658113792 0.17013920480393 0.151665795992653 0.200179291017172 0.327080327080327 0.24888453305135 0.127226463104326 0.232348416529627 0 0.207359078249855 0.123129542539547 0.208278430005696
"must" 0.146067613466378 0.119188426894732 0.120490049038607 0.0391655134598815 0.101010101010101 0.177958888917546 0.146799765120376 0.122009442469895 0.0390472471690746 0.329692258305208 0.333475844377939 0.420807440215589
"can" 0.339651197578445 0.165590028204895 0.106166057194857 0.055702063587387 0.108225108225108 0.0515822866427669 0.127226463104326 0.0933637472813113 0.0390472471690746 0.306266755741417 0.302693458743053 0.381702102336969
"even" 0.232300300934481 0.205622782276408 0.249405975632362 0.259362733578771 0.315055315055315 0.121218373610502 0.127226463104326 0.111399925733383 0.0390472471690746 0.163978517946538 0.136810602821719 0.130067754248455
"other" 0.184784330288792 0.171958875443545 0.155036147014712 0.228030322810865 0.214045214045214 0.242436747221004 0.215306322176551 0.136862765901013 0.156188988676298 0.185668798098196 0.136810602821719 0.194676573352263
"when" 0.174225225700861 0.150122827768174 0.153350971503682 0.130551711532938 0.149110149110149 0.226962061228174 0.0978665100802505 0.199458914646438 0.195236235845373 0.232519803225778 0.227447627191107 0.209978662087375
"them" 0.133748658113792 0.143753980529524 0.107008644950372 0.300268936525758 0.416065416065416 0.290150362365564 0.0391466040321002 0.151716089332131 0.0390472471690746 0.151831961061609 0.181274048738777 0.124116941962578
"first" 0.102071344349999 0.347557092166318 0.152508383748167 0.182772396146113 0.105820105820106 0.168931988755062 0.0587199060481503 0.133679910880059 0.0390472471690746 0.152699572267675 0.109448482257375 0.143669610901888
"into" 0.153107016524999 0.14193430988991 0.156721322525741 0.22628963332376 0.204425204425204 0.199881360740722 0.146799765120376 0.175057026152459 0.234283483014447 0.147493905031277 0.145361265498076 0.135168450493492
