"tpc_ch1" "tpc_ch10" "tpc_ch11" "tpc_ch12" "tpc_ch13" "tpc_ch14" "tpc_ch15" "tpc_ch2" "tpc_ch3" "tpc_ch4" "tpc_ch5" "tpc_ch6" "tpc_ch7" "tpc_ch8" "tpc_ch9"
"independent" 0 0.303214069132808 0.319182891797 0.503675469643343 0.0831946755407654 0.17171066752522 0 0 0 0.309484798834881 0.0458715596330275 0.135524309673048 0.908198330878743 0.449162923642303 0.738007380073801
"other" 0.219084712755599 0.242571255306246 0.4149377593361 0.190579907432616 0.249584026622296 0.107319167203262 0.342015259142331 0.236624161956093 0.22766078542971 0.291279810668123 0.275229357798165 0.254108080636964 0.270004909180167 0.122498979175174 0.22140221402214
"god" 0.511197663096397 0.0606428138265616 0.2553463134376 0.176967056901715 0 0.150246834084568 1.15759010786635 0.249769948731432 0.184974388161639 0.200254869834335 0.18348623853211 0.0677621548365238 0.171821305841924 0.0816659861167824 0.11070110701107
"machen" 0.0243427458617332 0 0.3511011809767 0.136128505309012 0 0.0643915003219575 0.0526177321757432 0.0920205074273695 0.184974388161639 0.327689787001638 0.114678899082569 0.423513467728274 0.417280314187531 0.979991833401388 0.03690036900369
"these" 0.340798442064265 0.485142510612492 0.1595914458985 0.245031309556221 0.166389351081531 0.214638334406525 0.342015259142331 0.144603654528724 0.184974388161639 0.163844893500819 0.160550458715596 0.321870235473488 0.122729504172803 0.224581461821151 0.33210332103321
"have" 0.146056475170399 0.121285627653123 0.1276731567188 0.0952899537163082 0.415973377703827 0.279029834728483 0.499868455669561 0.26291573550677 0.142287990893569 0.163844893500819 0.229357798165138 0.18634592580044 0.319096710849288 0.326663944467129 0.14760147601476
"all" 0.413826679649464 0.0606428138265616 0.542610916054899 0.204192757963518 0.0831946755407654 0.150246834084568 0.368324125230203 0.197186801630078 0.199203187250996 0.0910249408337885 0.252293577981651 0.237167541927833 0.270004909180167 0.102082482645978 0.03690036900369
"only" 0.267770204479065 0.121285627653123 0.2553463134376 0.272257010618023 0.0831946755407654 0.128783000643915 0.342015259142331 0.210332588405416 0.256118383608423 0.23666484616785 0.298165137614679 0.0847026935456548 0.270004909180167 0.122498979175174 0.18450184501845
"their" 0.146056475170399 0.606428138265615 0.3511011809767 0.0680642526545059 0.415973377703827 0.17171066752522 0.210470928702973 0.26291573550677 0.213431986340353 0.127434917167304 0.160550458715596 0.271048619346095 0.294550810014728 0.0816659861167824 0.3690036900369
"so" 0.267770204479065 0.242571255306246 0.0638365783593999 0.23141845902532 0.249584026622296 0.279029834728483 0.236779794790845 0.170895228079401 0.22766078542971 0.0546149645002731 0.252293577981651 0.237167541927833 0.368188512518409 0.204164965291956 0.03690036900369
"against" 0.0973709834469328 0.0606428138265616 0.1276731567188 0.136128505309012 0.166389351081531 0.407812835372397 0.0526177321757432 0.157749441304062 0.0853727945361411 0.218459858001092 0.0917431192660551 0.254108080636964 0.196367206676485 0.51041241322989 0.553505535055351
"christianity" 0.0486854917234664 0.181928441479685 0.1276731567188 0.136128505309012 0 0.214638334406525 1.05235464351486 0.26291573550677 0.256118383608423 0.163844893500819 0.0458715596330275 0.254108080636964 0.0981836033382425 0.0204164965291956 0.11070110701107
