"baum-rbo_1" "baum-rbo_2" "baum-rbo_3" "baum-rbo_4" "baum-rbo_5" "baum-rbo_6" "baum-rbo_7" "baum-rbo_8" "baum-rbo_9" "baum-rbo_10" "baum-rbo_11" "baum-rbo_12" "baum-rbo_13" "baum-rbo_14" "baum-rbo_15" "baum-rbo_16" "baum-rbo_17" "baum-rbo_18" "baum-rbo_19" "baum-rbo_20" "baum-rbo_21" "baum-rbo_22" "baum-rbo_23" "baum-rbo_24" "baum-rbo_25" "baum-rbo_26" "baum-rbo_27" "baum-rbo_28" "baum-rbo_29" "baum-rbo_30" "baum-rbo_31" "baum-rbo_32" "baum-rbo_33" "baum-rbo_34" "baum-rbo_35" "baum-rbo_36" "baum-rbo_37" "baum-rbo_38" "baum-rbo_39" "baum-rbo_40" "baum-rbo_41" "baum-rbo_42" "baum-rbo_43" "baum-rbo_44" "baum-rbo_45" "baum-rbo_46" "baum-rbo_47" "baum-rbo_48" "baum-rbo_49" "baum-rbo_50" "baum-rbo_51" "baum-rbo_52" "baum-rbo_53" "baum-rbo_54" "baum-rbo_55" "baum-rbo_56" "baum-rbo_57" "baum-rbo_58" "baum-rbo_59" "baum-rbo_60" "baum-rbo_61" "baum-rbo_62" "baum-rbo_63" "baum-rbo_64" "baum-rbo_65" "baum-rbo_66" "baum-rbo_67" "baum-rbo_68" "baum-rbo_69" "baum-rbo_70" "baum-rbo_71" "baum-rbo_72" "baum-rbo_73" "baum-rbo_74" "baum-rbo_75"
"them" 0.1 0.1 0.1 0.1 0.14 0.16 0.18 0.16 0.2 0.3 0.38 0.42 0.44 0.42 0.4 0.4 0.38 0.4 0.36 0.26 0.26 0.22 0.2 0.2 0.16 0.16 0.18 0.2 0.28 0.26 0.18 0.18 0.18 0.18 0.26 0.28 0.3 0.32 0.28 0.3 0.32 0.32 0.34 0.36 0.28 0.26 0.28 0.24 0.2 0.18 0.18 0.28 0.32 0.32 0.32 0.32 0.26 0.26 0.3 0.3 0.28 0.24 0.2 0.18 0.18 0.18 0.2 0.22 0.24 0.26 0.28 0.2 0.22 0.28 0.3
"were" 0.34 0.42 0.48 0.48 0.38 0.36 0.3 0.28 0.34 0.52 0.58 0.54 0.5 0.5 0.56 0.54 0.54 0.6 0.52 0.34 0.3 0.34 0.38 0.42 0.42 0.42 0.42 0.4 0.56 0.58 0.62 0.6 0.56 0.56 0.54 0.56 0.66 0.68 0.54 0.56 0.56 0.52 0.5 0.44 0.36 0.36 0.32 0.26 0.28 0.26 0.18 0.18 0.22 0.24 0.26 0.32 0.28 0.28 0.32 0.36 0.42 0.4 0.38 0.36 0.36 0.3 0.28 0.32 0.26 0.2 0.14 0.22 0.24 0.28 0.36
"from" 0.5 0.46 0.5 0.44 0.28 0.3 0.32 0.32 0.32 0.24 0.18 0.14 0.1 0.1 0.14 0.14 0.12 0.18 0.24 0.28 0.28 0.28 0.26 0.28 0.28 0.32 0.4 0.44 0.4 0.36 0.36 0.38 0.44 0.44 0.44 0.42 0.34 0.26 0.26 0.26 0.28 0.3 0.24 0.26 0.28 0.26 0.28 0.26 0.3 0.36 0.36 0.3 0.34 0.36 0.36 0.36 0.36 0.38 0.34 0.28 0.28 0.32 0.34 0.32 0.3 0.32 0.38 0.36 0.38 0.42 0.44 0.46 0.46 0.5 0.48
"dorothy" 0.52 0.38 0.38 0.42 0.56 0.64 0.84 1.06 1.2 1.3 1.5 1.66 1.74 1.86 1.84 1.78 1.66 1.42 1.24 1.12 0.94 0.78 0.7 0.5 0.32 0.2 0.08 0.08 0.1 0.08 0.08 0.12 0.22 0.36 0.54 0.72 0.9 1.06 1.14 1.26 1.44 1.54 1.58 1.6 1.64 1.48 1.32 1.18 1.08 0.96 0.8 0.8 0.7 0.66 0.56 0.7 0.84 0.94 1.12 1.24 1.28 1.32 1.34 1.28 1.24 1.14 1.08 1.04 1.02 1 1.02 1.02 1.12 1.22 1.24
"one" 0.58 0.56 0.54 0.5 0.48 0.38 0.32 0.36 0.38 0.4 0.42 0.38 0.36 0.32 0.28 0.28 0.32 0.26 0.2 0.2 0.14 0.22 0.28 0.3 0.32 0.3 0.34 0.34 0.34 0.36 0.4 0.38 0.34 0.32 0.32 0.34 0.28 0.34 0.36 0.32 0.3 0.28 0.32 0.34 0.34 0.32 0.3 0.28 0.32 0.36 0.38 0.36 0.36 0.36 0.34 0.38 0.42 0.42 0.36 0.36 0.34 0.36 0.32 0.34 0.42 0.36 0.34 0.3 0.36 0.32 0.3 0.3 0.34 0.32 0.24
"me" 0.26 0.28 0.26 0.24 0.28 0.2 0.22 0.22 0.18 0.18 0.16 0.18 0.28 0.32 0.28 0.3 0.3 0.28 0.34 0.36 0.42 0.38 0.32 0.38 0.36 0.42 0.44 0.5 0.44 0.46 0.48 0.48 0.44 0.34 0.36 0.28 0.24 0.18 0.22 0.22 0.14 0.18 0.16 0.18 0.22 0.24 0.22 0.3 0.3 0.26 0.34 0.3 0.34 0.34 0.28 0.26 0.26 0.22 0.2 0.2 0.14 0.18 0.16 0.14 0.14 0.18 0.26 0.26 0.24 0.28 0.28 0.3 0.32 0.36 0.36
"him" 0.44 0.46 0.5 0.52 0.58 0.58 0.6 0.62 0.62 0.5 0.54 0.54 0.5 0.5 0.38 0.38 0.32 0.28 0.28 0.32 0.26 0.26 0.22 0.2 0.24 0.34 0.34 0.32 0.36 0.36 0.34 0.3 0.3 0.3 0.3 0.22 0.24 0.22 0.2 0.18 0.2 0.22 0.28 0.3 0.3 0.3 0.26 0.3 0.34 0.4 0.42 0.44 0.52 0.48 0.46 0.44 0.48 0.46 0.42 0.46 0.46 0.42 0.32 0.42 0.4 0.42 0.38 0.42 0.42 0.32 0.34 0.38 0.42 0.32 0.32
"do" 0.14 0.16 0.18 0.16 0.12 0.12 0.1 0.12 0.14 0.16 0.18 0.16 0.14 0.2 0.2 0.18 0.22 0.2 0.18 0.16 0.16 0.18 0.18 0.12 0.16 0.2 0.14 0.18 0.18 0.2 0.2 0.18 0.18 0.2 0.16 0.14 0.14 0.1 0.14 0.12 0.1 0.12 0.18 0.18 0.22 0.22 0.28 0.3 0.3 0.28 0.32 0.34 0.3 0.3 0.26 0.28 0.22 0.2 0.2 0.22 0.2 0.18 0.16 0.14 0.14 0.12 0.14 0.14 0.1 0.1 0.16 0.16 0.18 0.18 0.2
"no" 0.42 0.44 0.4 0.38 0.36 0.36 0.32 0.36 0.24 0.24 0.26 0.26 0.26 0.24 0.22 0.22 0.2 0.16 0.14 0.14 0.16 0.18 0.22 0.24 0.24 0.22 0.26 0.28 0.3 0.28 0.3 0.3 0.24 0.24 0.3 0.38 0.34 0.36 0.34 0.34 0.26 0.26 0.28 0.34 0.3 0.24 0.32 0.36 0.38 0.38 0.48 0.46 0.46 0.4 0.38 0.4 0.38 0.34 0.32 0.32 0.24 0.22 0.24 0.32 0.34 0.34 0.28 0.26 0.28 0.28 0.32 0.34 0.3 0.22 0.2
"if" 0.18 0.2 0.2 0.24 0.26 0.26 0.24 0.18 0.18 0.2 0.22 0.24 0.26 0.28 0.24 0.22 0.26 0.3 0.3 0.28 0.24 0.2 0.28 0.24 0.26 0.26 0.28 0.26 0.24 0.22 0.22 0.24 0.16 0.16 0.18 0.2 0.18 0.2 0.24 0.26 0.28 0.32 0.34 0.32 0.32 0.32 0.28 0.28 0.24 0.22 0.2 0.14 0.1 0.14 0.12 0.1 0.1 0.08 0.1 0.14 0.18 0.2 0.22 0.18 0.16 0.2 0.26 0.24 0.22 0.2 0.16 0.18 0.2 0.2 0.2
"then" 0.18 0.18 0.2 0.2 0.2 0.22 0.28 0.32 0.3 0.3 0.3 0.32 0.3 0.28 0.28 0.3 0.26 0.22 0.22 0.22 0.18 0.16 0.16 0.22 0.24 0.22 0.24 0.24 0.26 0.24 0.22 0.22 0.26 0.22 0.24 0.22 0.24 0.22 0.2 0.22 0.24 0.26 0.22 0.24 0.26 0.24 0.2 0.22 0.24 0.22 0.24 0.24 0.26 0.22 0.2 0.22 0.2 0.22 0.18 0.22 0.22 0.22 0.26 0.3 0.26 0.28 0.32 0.36 0.4 0.38 0.38 0.38 0.36 0.36 0.38
"their" 0.14 0.2 0.2 0.3 0.3 0.34 0.36 0.34 0.36 0.52 0.58 0.48 0.46 0.44 0.6 0.54 0.52 0.54 0.52 0.36 0.3 0.32 0.3 0.22 0.08 0.08 0.14 0.16 0.24 0.28 0.32 0.34 0.34 0.34 0.32 0.34 0.32 0.38 0.3 0.3 0.26 0.28 0.28 0.3 0.32 0.32 0.4 0.3 0.34 0.34 0.34 0.3 0.3 0.28 0.26 0.26 0.14 0.12 0.16 0.14 0.14 0.12 0.18 0.18 0.18 0.18 0.2 0.22 0.18 0.16 0.16 0.18 0.2 0.22 0.26
"up" 0.44 0.5 0.56 0.52 0.52 0.48 0.44 0.42 0.36 0.36 0.36 0.32 0.28 0.38 0.42 0.46 0.46 0.5 0.48 0.46 0.42 0.4 0.4 0.34 0.28 0.28 0.28 0.28 0.28 0.3 0.3 0.32 0.38 0.38 0.42 0.38 0.44 0.4 0.4 0.42 0.5 0.54 0.48 0.46 0.5 0.52 0.5 0.6 0.6 0.62 0.56 0.54 0.54 0.5 0.5 0.5 0.5 0.38 0.42 0.34 0.38 0.36 0.36 0.36 0.4 0.44 0.42 0.42 0.54 0.6 0.68 0.7 0.74 0.74 0.64
"what" 0.16 0.24 0.26 0.18 0.16 0.18 0.2 0.22 0.28 0.26 0.34 0.28 0.28 0.28 0.26 0.24 0.24 0.26 0.2 0.2 0.12 0.12 0.12 0.14 0.12 0.14 0.18 0.2 0.22 0.26 0.28 0.3 0.34 0.32 0.34 0.32 0.32 0.26 0.3 0.28 0.3 0.26 0.28 0.3 0.28 0.28 0.24 0.28 0.26 0.24 0.24 0.26 0.22 0.2 0.28 0.3 0.3 0.28 0.26 0.4 0.42 0.4 0.36 0.44 0.36 0.34 0.32 0.3 0.32 0.2 0.16 0.22 0.24 0.18 0.24
"your" 0.42 0.48 0.5 0.4 0.24 0.22 0.22 0.18 0.14 0.14 0.1 0.02 0.04 0.08 0.08 0.12 0.12 0.16 0.32 0.34 0.4 0.4 0.4 0.44 0.46 0.42 0.5 0.5 0.34 0.4 0.38 0.38 0.36 0.28 0.3 0.32 0.24 0.2 0.28 0.3 0.28 0.32 0.36 0.36 0.38 0.42 0.46 0.52 0.52 0.44 0.5 0.48 0.42 0.42 0.36 0.3 0.28 0.22 0.26 0.28 0.24 0.22 0.24 0.26 0.3 0.32 0.32 0.34 0.22 0.18 0.14 0.18 0.16 0.16 0.12
"little" 0.34 0.32 0.3 0.3 0.3 0.36 0.4 0.4 0.4 0.32 0.32 0.34 0.38 0.36 0.32 0.26 0.24 0.2 0.18 0.24 0.36 0.36 0.36 0.42 0.44 0.48 0.42 0.46 0.52 0.48 0.36 0.52 0.56 0.5 0.46 0.48 0.52 0.5 0.5 0.54 0.62 0.46 0.36 0.44 0.56 0.52 0.64 0.68 0.62 0.6 0.56 0.6 0.62 0.56 0.52 0.56 0.42 0.42 0.5 0.52 0.52 0.56 0.6 0.66 0.7 0.64 0.64 0.66 0.58 0.56 0.54 0.5 0.5 0.48 0.38
"will" 0.16 0.14 0.12 0.08 0.06 0.06 0.06 0.04 0.04 0 0 0 0 0.02 0.02 0.02 0.12 0.12 0.18 0.2 0.22 0.22 0.24 0.24 0.26 0.3 0.26 0.26 0.2 0.18 0.16 0.16 0.14 0.12 0.12 0.12 0.1 0.12 0.12 0.14 0.14 0.18 0.22 0.22 0.2 0.22 0.2 0.18 0.18 0.24 0.32 0.28 0.24 0.24 0.24 0.18 0.16 0.16 0.16 0.12 0.1 0.14 0.18 0.24 0.24 0.32 0.42 0.44 0.46 0.46 0.4 0.38 0.34 0.28 0.28
"by" 0.34 0.34 0.3 0.28 0.28 0.22 0.18 0.2 0.16 0.14 0.2 0.22 0.24 0.24 0.22 0.22 0.2 0.2 0.2 0.22 0.14 0.14 0.14 0.16 0.18 0.18 0.18 0.16 0.16 0.14 0.18 0.16 0.18 0.16 0.12 0.12 0.12 0.14 0.14 0.16 0.12 0.16 0.12 0.14 0.14 0.16 0.18 0.2 0.2 0.18 0.18 0.14 0.14 0.12 0.12 0.1 0.1 0.06 0.08 0.1 0.1 0.1 0.16 0.16 0.18 0.18 0.16 0.18 0.18 0.16 0.18 0.16 0.1 0.1 0.1
"out" 0.5 0.46 0.44 0.42 0.38 0.38 0.38 0.3 0.3 0.26 0.2 0.26 0.3 0.34 0.34 0.38 0.4 0.42 0.42 0.42 0.36 0.34 0.34 0.38 0.36 0.4 0.36 0.4 0.42 0.42 0.54 0.5 0.5 0.42 0.46 0.38 0.44 0.46 0.46 0.52 0.4 0.48 0.5 0.52 0.5 0.48 0.46 0.38 0.34 0.28 0.3 0.22 0.2 0.22 0.22 0.24 0.26 0.24 0.3 0.3 0.3 0.36 0.34 0.3 0.28 0.32 0.3 0.32 0.28 0.3 0.38 0.36 0.36 0.4 0.4
"who" 0.54 0.54 0.52 0.48 0.38 0.38 0.32 0.3 0.28 0.26 0.26 0.24 0.32 0.26 0.24 0.18 0.2 0.2 0.28 0.28 0.3 0.28 0.2 0.24 0.2 0.2 0.18 0.18 0.08 0.08 0.04 0.04 0.06 0.02 0.02 0.06 0.06 0.08 0.1 0.12 0.12 0.12 0.1 0.12 0.12 0.08 0.08 0.06 0.06 0.04 0.04 0.1 0.1 0.08 0.1 0.1 0.14 0.16 0.24 0.28 0.28 0.24 0.28 0.3 0.28 0.28 0.28 0.28 0.2 0.18 0.18 0.16 0.14 0.14 0.14
"when" 0.06 0.06 0.08 0.1 0.12 0.12 0.16 0.18 0.2 0.2 0.2 0.2 0.18 0.16 0.16 0.14 0.1 0.08 0.06 0.04 0.06 0.04 0.08 0.1 0.08 0.12 0.12 0.12 0.16 0.2 0.18 0.2 0.16 0.14 0.16 0.14 0.18 0.18 0.14 0.1 0.14 0.12 0.14 0.16 0.18 0.16 0.12 0.14 0.2 0.22 0.2 0.2 0.2 0.2 0.26 0.26 0.26 0.24 0.2 0.2 0.22 0.22 0.22 0.22 0.16 0.22 0.22 0.24 0.22 0.22 0.2 0.22 0.22 0.24 0.22
"now" 0.2 0.2 0.2 0.18 0.14 0.16 0.16 0.16 0.16 0.14 0.14 0.12 0.14 0.12 0.16 0.14 0.18 0.18 0.2 0.24 0.28 0.28 0.28 0.26 0.22 0.24 0.18 0.22 0.24 0.2 0.18 0.18 0.18 0.18 0.18 0.16 0.16 0.12 0.1 0.14 0.12 0.16 0.14 0.16 0.18 0.16 0.2 0.2 0.18 0.14 0.14 0.1 0.12 0.14 0.16 0.22 0.18 0.24 0.24 0.24 0.26 0.28 0.3 0.28 0.26 0.22 0.24 0.24 0.22 0.28 0.3 0.32 0.28 0.26 0.28
"there" 0.14 0.14 0.16 0.16 0.16 0.16 0.2 0.18 0.24 0.22 0.2 0.22 0.22 0.22 0.24 0.24 0.2 0.16 0.1 0.12 0.1 0.08 0.1 0.16 0.16 0.18 0.2 0.24 0.26 0.28 0.3 0.3 0.28 0.22 0.22 0.22 0.2 0.2 0.22 0.2 0.18 0.18 0.18 0.18 0.16 0.14 0.18 0.14 0.1 0.08 0.1 0.1 0.08 0.14 0.14 0.2 0.16 0.16 0.18 0.18 0.18 0.2 0.22 0.18 0.24 0.18 0.18 0.18 0.18 0.22 0.2 0.18 0.16 0.2 0.18
"oz" 0.8 0.56 0.4 0.4 0.28 0.28 0.24 0.22 0.24 0.22 0.2 0.2 0.26 0.24 0.24 0.16 0.2 0.2 0.16 0.18 0.22 0.26 0.2 0.2 0.18 0.2 0.18 0.2 0.22 0.28 0.3 0.38 0.42 0.4 0.4 0.4 0.4 0.38 0.4 0.32 0.26 0.14 0.08 0.08 0.08 0.08 0.22 0.3 0.28 0.3 0.36 0.4 0.42 0.42 0.44 0.42 0.26 0.24 0.32 0.32 0.3 0.28 0.3 0.34 0.36 0.36 0.46 0.48 0.4 0.44 0.42 0.42 0.48 0.5 0.54
"would" 0.14 0.1 0.1 0.14 0.14 0.14 0.12 0.12 0.12 0.12 0.1 0.1 0.08 0.04 0.06 0.08 0.06 0.04 0.08 0.08 0.12 0.12 0.12 0.14 0.22 0.2 0.26 0.28 0.24 0.28 0.26 0.26 0.28 0.26 0.16 0.16 0.1 0.1 0.1 0.08 0.06 0.08 0.08 0.08 0.08 0.08 0.1 0.12 0.22 0.22 0.26 0.24 0.28 0.3 0.34 0.36 0.34 0.32 0.26 0.26 0.24 0.24 0.22 0.24 0.22 0.26 0.26 0.24 0.2 0.18 0.16 0.18 0.16 0.14 0.16
"into" 0.18 0.18 0.2 0.22 0.22 0.26 0.26 0.32 0.3 0.3 0.28 0.26 0.24 0.24 0.28 0.24 0.18 0.12 0.14 0.16 0.2 0.22 0.28 0.28 0.24 0.26 0.28 0.3 0.34 0.34 0.3 0.26 0.2 0.2 0.22 0.2 0.22 0.22 0.16 0.14 0.2 0.2 0.18 0.28 0.26 0.3 0.32 0.34 0.34 0.36 0.32 0.32 0.34 0.22 0.28 0.28 0.24 0.22 0.24 0.26 0.26 0.26 0.24 0.26 0.2 0.16 0.16 0.18 0.18 0.16 0.2 0.2 0.26 0.28 0.3
"could" 0.22 0.28 0.36 0.42 0.44 0.38 0.36 0.36 0.42 0.38 0.4 0.4 0.34 0.28 0.3 0.3 0.28 0.32 0.26 0.3 0.26 0.22 0.2 0.2 0.2 0.2 0.22 0.2 0.24 0.22 0.24 0.24 0.28 0.32 0.26 0.26 0.24 0.24 0.24 0.24 0.24 0.24 0.24 0.2 0.22 0.24 0.26 0.22 0.22 0.2 0.18 0.16 0.14 0.14 0.12 0.1 0.1 0.1 0.1 0.14 0.16 0.16 0.2 0.2 0.26 0.3 0.28 0.3 0.28 0.26 0.24 0.24 0.2 0.18 0.12
"or" 0.14 0.16 0.14 0.12 0.14 0.14 0.14 0.14 0.2 0.2 0.18 0.18 0.16 0.16 0.14 0.14 0.12 0.16 0.12 0.1 0.16 0.18 0.22 0.22 0.22 0.24 0.24 0.2 0.18 0.16 0.1 0.08 0.12 0.14 0.16 0.14 0.16 0.18 0.18 0.18 0.18 0.2 0.14 0.12 0.12 0.12 0.12 0.1 0.12 0.12 0.14 0.1 0.08 0.08 0.06 0.08 0.08 0.1 0.1 0.12 0.1 0.1 0.1 0.1 0.1 0.1 0.08 0.06 0.08 0.08 0.1 0.1 0.12 0.12 0.12
"us" 0.14 0.08 0.06 0.04 0.1 0.1 0.1 0.1 0.1 0.1 0.12 0.14 0.14 0.18 0.12 0.14 0.14 0.12 0.12 0.1 0.08 0.06 0.06 0.02 0.02 0.02 0.22 0.24 0.24 0.24 0.28 0.28 0.3 0.34 0.4 0.44 0.26 0.3 0.34 0.36 0.32 0.36 0.42 0.38 0.32 0.26 0.24 0.2 0.16 0.14 0.14 0.1 0.02 0.04 0.04 0.06 0.06 0.08 0.08 0.12 0.16 0.18 0.18 0.16 0.16 0.16 0.2 0.16 0.18 0.16 0.12 0.12 0.12 0.12 0.16
"can" 0.14 0.18 0.18 0.16 0.14 0.1 0.1 0.1 0.08 0.08 0.08 0.08 0.08 0.1 0.1 0.08 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.08 0.08 0.1 0.08 0.12 0.16 0.18 0.22 0.18 0.18 0.18 0.18 0.16 0.16 0.12 0.1 0.08 0.04 0.04 0.06 0.06 0.06 0.06 0.06 0.08 0.06 0.08 0.1 0.1 0.08 0.12 0.14 0.14 0.12 0.1 0.1 0.08 0.06 0.08 0.08 0.04 0.02 0.02 0.08 0.1 0.1 0.1 0.1 0.12 0.12 0.12 0.14
"an" 0.1 0.12 0.12 0.14 0.14 0.16 0.24 0.2 0.22 0.22 0.24 0.24 0.24 0.28 0.32 0.3 0.26 0.28 0.3 0.32 0.32 0.28 0.32 0.24 0.18 0.22 0.18 0.16 0.12 0.1 0.1 0.12 0.08 0.08 0.1 0.06 0.06 0.06 0.1 0.1 0.12 0.1 0.14 0.18 0.16 0.16 0.16 0.18 0.14 0.16 0.12 0.14 0.12 0.1 0.12 0.14 0.16 0.18 0.18 0.18 0.18 0.16 0.16 0.16 0.2 0.18 0.2 0.18 0.26 0.26 0.28 0.32 0.3 0.3 0.3
"ozma" 0.2 0.16 0.12 0.06 0.1 0.08 0.1 0.1 0.1 0.08 0.08 0.1 0.1 0.1 0.04 0.04 0.02 0.02 0.02 0.04 0.04 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.06 0.04 0.04 0.22 0.22 0.22 0.22 0.22 0.22 0.24 0.22 0.22 0.24 0.06 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.08 0.08 0.08 0.16 0.22 0.3
"very" 0.24 0.24 0.2 0.22 0.2 0.24 0.24 0.24 0.2 0.16 0.16 0.16 0.2 0.18 0.18 0.14 0.18 0.18 0.2 0.22 0.24 0.22 0.2 0.2 0.2 0.18 0.18 0.18 0.14 0.14 0.12 0.12 0.1 0.1 0.1 0.1 0.08 0.06 0.08 0.06 0.06 0.06 0.08 0.1 0.1 0.12 0.12 0.12 0.1 0.12 0.12 0.12 0.18 0.22 0.28 0.36 0.38 0.38 0.42 0.44 0.44 0.42 0.38 0.34 0.28 0.18 0.18 0.18 0.14 0.12 0.12 0.14 0.1 0.08 0.08
"see" 0.12 0.1 0.12 0.12 0.12 0.1 0.12 0.12 0.12 0.08 0.08 0.08 0.06 0.06 0.04 0.04 0 0 0.04 0.08 0.08 0.1 0.1 0.1 0.14 0.16 0.22 0.24 0.2 0.16 0.16 0.18 0.2 0.2 0.16 0.14 0.08 0.08 0.08 0.08 0.08 0.06 0.04 0.04 0.06 0.06 0.06 0.06 0.08 0.08 0.08 0.08 0.08 0.08 0.1 0.14 0.14 0.12 0.1 0.1 0.1 0.1 0.12 0.14 0.1 0.06 0.08 0.1 0.1 0.1 0.12 0.1 0.08 0.08 0.12
"over" 0.22 0.24 0.26 0.28 0.3 0.3 0.28 0.32 0.32 0.32 0.34 0.3 0.3 0.26 0.24 0.3 0.36 0.3 0.24 0.24 0.22 0.26 0.24 0.24 0.24 0.22 0.18 0.22 0.24 0.26 0.32 0.3 0.3 0.34 0.32 0.24 0.24 0.22 0.2 0.2 0.18 0.16 0.18 0.18 0.22 0.22 0.26 0.26 0.3 0.28 0.24 0.24 0.24 0.18 0.14 0.14 0.1 0.12 0.08 0.08 0.08 0.14 0.12 0.14 0.18 0.22 0.2 0.18 0.22 0.28 0.34 0.3 0.32 0.34 0.34
"like" 0.06 0.08 0.12 0.12 0.2 0.26 0.26 0.26 0.24 0.28 0.28 0.28 0.26 0.26 0.22 0.2 0.24 0.24 0.22 0.22 0.26 0.24 0.22 0.24 0.2 0.18 0.16 0.16 0.2 0.16 0.2 0.2 0.2 0.18 0.24 0.22 0.22 0.22 0.24 0.26 0.2 0.22 0.26 0.28 0.24 0.24 0.22 0.28 0.24 0.22 0.2 0.2 0.2 0.18 0.2 0.2 0.26 0.22 0.22 0.22 0.26 0.24 0.22 0.24 0.22 0.22 0.24 0.22 0.2 0.22 0.18 0.2 0.18 0.16 0.14
"back" 0.14 0.14 0.12 0.12 0.12 0.14 0.16 0.22 0.2 0.2 0.24 0.26 0.24 0.26 0.28 0.26 0.3 0.28 0.28 0.3 0.28 0.28 0.28 0.26 0.24 0.24 0.22 0.18 0.2 0.22 0.2 0.18 0.24 0.24 0.24 0.26 0.24 0.24 0.26 0.24 0.26 0.24 0.22 0.24 0.26 0.26 0.24 0.3 0.3 0.3 0.32 0.36 0.34 0.34 0.4 0.38 0.38 0.32 0.3 0.34 0.36 0.34 0.32 0.34 0.3 0.28 0.26 0.28 0.26 0.2 0.18 0.18 0.2 0.16 0.12
"king" 0.02 0.14 0.16 0.16 0.16 0.14 0.14 0.14 0.14 0.14 0.14 0.02 0.06 0.08 0.08 0.08 0.08 0.08 0.12 0.12 0.12 0.12 0.06 0.04 0.04 0.04 0.1 0.18 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.18 0.12 0.04 0.18 0.38 0.54 0.68 0.72 0.72 0.72 0.7 0.7 0.7 0.54 0.34 0.2 0.06 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0.02 0.02
"wizard" 0.08 0.08 0.06 0.06 0.04 0.04 0.04 0.04 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.06 0.08 0.08
"which" 0.12 0.14 0.14 0.12 0.12 0.12 0.1 0.1 0.12 0.08 0.06 0.04 0.04 0.08 0.14 0.14 0.14 0.14 0.14 0.18 0.22 0.24 0.24 0.2 0.14 0.14 0.14 0.14 0.12 0.08 0.04 0 0.02 0.1 0.12 0.14 0.16 0.16 0.16 0.16 0.2 0.2 0.22 0.14 0.12 0.1 0.1 0.1 0.12 0.12 0.08 0.08 0.08 0.1 0.1 0.1 0.08 0.12 0.12 0.14 0.18 0.18 0.16 0.14 0.16 0.16 0.16 0.14 0.14 0.14 0.14 0.16 0.14 0.14 0.12
"well" 0.2 0.18 0.16 0.14 0.12 0.12 0.1 0.1 0.1 0.08 0.08 0.08 0.06 0.06 0.06 0.06 0.06 0.06 0.02 0.02 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.04 0.02 0.04 0.04 0.04 0.04 0.06 0.06 0.06 0.06 0.06 0.08 0.1 0.12 0.12 0.14 0.12 0.14 0.14 0.14 0.12 0.1 0.06 0.04 0.08 0.08 0.1 0.08 0.08 0.08 0.12 0.12 0.14 0.14 0.1 0.08 0.1 0.12 0.12 0.12 0.08 0.1 0.08 0.08 0.08 0.08
"down" 0.38 0.38 0.5 0.48 0.46 0.4 0.4 0.4 0.52 0.54 0.42 0.44 0.3 0.32 0.32 0.34 0.32 0.3 0.2 0.16 0.22 0.18 0.2 0.24 0.3 0.36 0.34 0.34 0.4 0.42 0.36 0.36 0.38 0.32 0.32 0.22 0.28 0.38 0.36 0.34 0.4 0.42 0.38 0.52 0.5 0.5 0.48 0.44 0.42 0.42 0.36 0.34 0.34 0.2 0.22 0.24 0.2 0.16 0.14 0.16 0.18 0.24 0.22 0.24 0.2 0.24 0.24 0.22 0.26 0.32 0.34 0.34 0.42 0.48 0.48
"scarecrow" 1.4 1.38 1.5 1.5 1.42 1.42 1.38 1.24 1.02 0.82 0.64 0.5 0.4 0.28 0.24 0.2 0.12 0.26 0.4 0.52 0.72 0.88 1.04 1.2 1.36 1.56 1.78 1.84 1.86 1.92 1.9 1.8 1.62 1.44 1.26 1.12 0.92 0.7 0.56 0.48 0.3 0.24 0.22 0.22 0.24 0.34 0.5 0.74 0.96 0.96 1.2 1.28 1.28 1.28 1.28 1.12 1.12 1.12 1.08 1.16 1.02 1.08 1.22 1.3 1.4 1.62 1.58 1.54 1.46 1.38 1.36 1.36 1.32 1.38 1.38
